,FxPair,Avg_Quotes,Avg_Spread
39,usd_mxn,109049.0,1.0
11,eur_czk,14090.0,1.0
34,usd_czk,187188.0,2.0
20,eur_usd,106421.0,3.0
10,eur_chf,88969.0,4.0
38,usd_jpy,36825.0,4.0
36,usd_hkd,8459.0,4.0
43,usd_sgd,30315.0,5.0
4,aud_usd,96365.0,5.0
32,usd_cad,62694.0,5.0
26,gbp_usd,98963.0,5.0
12,eur_gbp,71671.0,5.0
33,usd_chf,75071.0,5.0
30,nzd_usd,60378.0,5.0
14,eur_jpy,108121.0,5.0
31,sgd_jpy,72817.0,6.0
6,cad_jpy,107508.0,6.0
35,usd_dkk,279345.0,6.0
29,nzd_jpy,66641.0,7.0
5,cad_chf,88032.0,7.0
2,aud_jpy,94367.0,7.0
9,eur_cad,173411.0,8.0
7,chf_jpy,132430.0,8.0
24,gbp_jpy,106872.0,8.0
1,aud_chf,149591.0,8.0
0,aud_cad,152906.0,8.0
21,gbp_aud,159219.0,9.0
23,gbp_chf,133248.0,9.0
27,nzd_cad,127885.0,9.0
22,gbp_cad,147482.0,10.0
19,eur_try,203097.0,10.0
8,eur_aud,155018.0,10.0
3,aud_nzd,169319.0,10.0
44,usd_try,46968.0,11.0
37,usd_huf,153222.0,14.0
13,eur_huf,23952.0,14.0
16,eur_nzd,176440.0,15.0
28,nzd_chf,80534.0,15.0
17,eur_pln,35382.0,19.0
25,gbp_nzd,207364.0,20.0
41,usd_pln,204029.0,20.0
40,usd_nok,247627.0,28.0
42,usd_sek,259659.0,29.0
45,usd_zar,90870.0,35.0
18,eur_sek,66509.0,38.0
15,eur_nok,59379.0,44.0
